Distance,Time (ms),Success
0.4952988578895466,0.0,1
1.6705363914842304,4.0,1
1.729446005877981,4.0,1
1.8878053777454582,4.0,1
2.032595894557207,390.0,0
2.4095071052392183,358.0,0
2.9805735513419873,86.0,1
3.017961777324061,4.0,1
3.0250701296867772,56.0,1
3.0813654925676883,28.0,1
3.2472050234123446,16.0,1
3.5230123905650648,18.0,1
3.724952326340399,116.0,1
3.9924947129537514,50.0,1
4.042650041669625,24.0,1
4.456050624709515,462.0,0
4.519204781198386,32.0,1
4.611686905628222,98.0,1
4.647854592473194,46.0,1
4.816134221318897,80.0,1
4.819862387465881,46.0,1
4.88886299121057,38.0,1
5.038858188787276,102.0,1
5.0768087452458674,76.0,1
5.352870219186818,62.0,1
5.532377195155369,78.0,1
5.5450791643759425,92.0,1
5.656985787909202,138.0,1
5.76064704043156,26.0,1
5.777226107463529,84.0,1
5.895129870191187,32.0,1
6.001897804111353,86.0,1
6.022329951844037,80.0,1
6.1121041201463555,324.0,0
6.173515581913192,326.0,0
6.251876705636343,142.0,1
6.310952121781554,76.0,1
6.569675428402964,42.0,1
6.766804787949155,16.0,1
6.792028419028007,62.0,1
6.952247136883291,82.0,1
7.067883047991081,102.0,1
7.217219865751365,76.0,1
7.222519191806874,54.0,1
7.283842325840532,54.0,1
7.490137517296898,36.0,1
7.56352638977904,298.0,0
7.643217211034367,364.0,0
7.664036937296125,132.0,1
7.804821350827193,308.0,0
7.963281949808533,94.0,1
7.992887454665124,450.0,0
8.049559416429865,134.0,1
8.061126967213728,334.0,0
8.13965353450353,190.0,1
8.223846600813221,28.0,1
8.343407425893279,270.0,1
8.405523334806658,78.0,1
8.430638197170515,80.0,1
8.43564930894876,116.0,1
8.443802644742405,192.0,1
8.47613723154133,86.0,1
8.493837889469056,300.0,0
8.496381078180383,402.0,0
8.504250651904293,336.0,1
8.828611098875088,80.0,1
8.838902751077342,400.0,0
8.88755489434683,310.0,0
8.956154852967996,370.0,0
8.98935392054657,156.0,1
8.995602725194859,100.0,1
9.018624078879931,126.0,1
9.140936031711979,228.0,1
9.161160195316652,64.0,1
9.25492326631022,196.0,1
9.281550569430555,192.0,1
9.43822131601036,178.0,1
9.458342480715123,252.0,1
9.51499930606776,104.0,1
9.579671309281588,194.0,1
9.599854106812154,58.0,1
9.685857225530667,412.0,0
9.766791809389423,22.0,1
9.853429844808748,202.0,1
9.891297453086462,116.0,1
9.991080352213293,154.0,1
10.046388525831997,152.0,1
10.292545597773733,120.0,1
10.500415332764463,200.0,1
10.584952531131215,142.0,1
10.751040671065496,126.0,1
10.930592083803482,166.0,1
11.516709011286334,432.0,0
11.665653179652123,360.0,1
11.819119538143116,372.0,1
11.871745368895368,256.0,1
11.903691765849455,322.0,0
12.387944037165598,266.0,1
13.112574553024446,318.0,1
13.201305705416633,356.0,0
