X Position,Y Position,Linear Velocity,Angular Velocity
2.561767153496259,1.3251215211218135,0.0004215150208944266,0.06059234293553307
2.561775364367664,1.3251151716827003,0.00019768090380435115,0.10512052529790938
2.5617926069913537,1.3251082884708545,0.00016761995771131459,0.1527505394496128
2.561838419218473,1.3251393669921647,0.0005572873404889506,0.21453650185664497
2.5619994958160923,1.3253414431026833,0.0011590681385654198,0.27942487252047976
2.5621067828213757,1.32549906509856,0.002028278716976925,0.34558339424318657
2.562266009061128,1.3256969606534508,0.0021620395610555732,0.3455340215356002
2.5623152272326575,1.3259021478773434,0.002345154093204502,0.345468295951443
2.5622691991960895,1.3261267410875508,0.00259837505836227,0.3452483504511908
2.5622807386067112,1.3264284817900247,0.002800238356865537,0.34509236389976206
2.562351103979598,1.3267367031863841,0.0030615709870989894,0.3449511565648245
2.5623267034108324,1.3269114434143585,0.0032980232829850457,0.3448963715529755
2.5623386823164083,1.327236972407995,0.003517366159303215,0.34471531239851666
2.5623752429289155,1.327479505467526,0.0038379081967131173,0.3445484942743138
2.5623985390045814,1.3277517028671912,0.00411269915523067,0.3444006124325405
2.56238849382156,1.3280929298250737,0.004358478679456109,0.34431806740531384
2.5623727748246026,1.3282643793924809,0.004778652231766753,0.34406380661583175
2.5622917685486044,1.3286070319971142,0.005042355932754449,0.34387318657809646
2.562196260887795,1.3288621219769077,0.005547939002508181,0.34351119763394744
2.5620080927061473,1.3291336529230176,0.005931551395153063,0.3432290771539226
2.561756079920105,1.329617702772003,0.0063654620930298006,0.3428676629844889
2.5615798107210654,1.3299428275977814,0.0069468819890347935,0.3425033189212163
2.5613993229699332,1.3303014160959048,0.007391926637357549,0.34220845411413214
2.5610628438000287,1.330633407863706,0.007870417941498233,0.34191514777348275
2.5606968600038247,1.3312195433063003,0.00844103913617505,0.34143791412730534
2.560452222680487,1.331621758327163,0.009189111818335568,0.34099759078632425
2.5600452535760034,1.3321666315747507,0.009675469790335484,0.3407370494606346
2.5597074218470226,1.332472509505756,0.01043837651359337,0.3402610067968525
2.5592370846278705,1.3329105627031268,0.010994072049708285,0.33982876135942613
2.5587230988534415,1.3334732752099736,0.011667904206115085,0.33934220980931157
2.5583814722956735,1.3337589536401744,0.012546989115162293,0.3387677776244784
2.558044303930867,1.3342601360835182,0.012945216125391025,0.33848521979834445
2.557376630216499,1.3346924436247178,0.013641553679082617,0.33813041631919777
2.556011147616436,1.3351089950322113,0.014652657066974425,0.3372966454457939
2.555366606327656,1.3356868620021594,0.01590019352503137,0.33592969086271807
2.5548453849019737,1.336093942311951,0.016768240530397095,0.33538650722775365
2.5504815867615935,1.3344615226640268,0.017442911489407038,0.3349272233684475
2.5479149482773344,1.333943537493214,0.018383510865161334,0.3306930836028787
2.5471629668523725,1.334280468451146,0.019251365507700978,0.3283476824632524
2.5460613273062513,1.3347266797974289,0.020183367201220593,0.3275508379415989
2.5451022554354186,1.3353648904660513,0.021155911176656536,0.32666158812744744
2.5441459381016998,1.3360094755730962,0.0220998069266199,0.3260355056752422
2.5426369292330584,1.3371028547540167,0.023040249293185117,0.3254291843972404
2.5417600727600096,1.3376562206719864,0.024494070226458463,0.3245797049604784
2.5402961833698097,1.3384900511822035,0.025275624722937273,0.324073181323864
2.5387747637662432,1.3394290006567466,0.026347145166778645,0.3233354586080443
2.5375811314098424,1.3400332526561112,0.027732095637006064,0.32244890069071636
2.5360577776442845,1.3408094892264675,0.028630546774642582,0.32178769043975325
2.534368289349933,1.3416659862953981,0.029754603976834503,0.32097677420455756
2.5329288374391083,1.3423514214656223,0.03095564656827355,0.3201215291895187
2.5311101468640906,1.3430995605785405,0.032083131172762056,0.319293118424942
2.5293635326415718,1.343723074223222,0.03337238678642997,0.3182555787381222
2.5279316096886504,1.3441976017046784,0.0345850365053487,0.3172095421155596
2.5254707091469353,1.345060007547323,0.03566467064316289,0.31627096336010935
2.5239389645919132,1.3456333284583373,0.03675174613682342,0.3152513616391564
2.5216236152465434,1.3463332826005576,0.03773623928724104,0.31444707835832963
2.520099829113695,1.3467621894720399,0.03905052070351026,0.313222717003955
2.517235367105073,1.3476161439254355,0.039914952666803644,0.31240005307897
2.5148498747757397,1.3481331796274212,0.04146709590230076,0.31096736179221535
2.5125389213911777,1.3484955826674732,0.041863298045841275,0.3102344295116651
2.5106181001856704,1.348904973489411,0.04286164492898545,0.30899919018806277
2.508139103230441,1.3492975085168233,0.0438984849531998,0.30794004774582373
2.5046364493266076,1.3499042088193764,0.04501923378314365,0.3066167327345461
2.502690441634595,1.3502561162965776,0.04644056015674286,0.30493370782082513
2.50001883674933,1.3507159713243837,0.04726756877255892,0.3040021645837294
2.496728941706131,1.3513158173218596,0.048371449639801584,0.30274163638647794
2.4941522527789513,1.351601645795224,0.049677706998193835,0.3012835924071656
2.491175988012282,1.3519495973753273,0.05049404388105513,0.30013614602882577
2.48822456892783,1.3522366542980517,0.05145218265106367,0.2988391194490614
2.4848646688502782,1.352522344000727,0.052429201729681116,0.29750616624718396
2.482574951775387,1.3527539748857613,0.05319519305378227,0.2962118686023429
2.479625354398177,1.3529057457021985,0.054104852008293826,0.2951212633107485
2.476319378753944,1.3529760913382756,0.05488293461370918,0.2938668087001811
2.47220401663742,1.3530990441146908,0.05586408168759178,0.29232354374032515
2.4690412297269546,1.353365520686637,0.05650245200402383,0.2908647739793426
2.4630260217701814,1.3537186320396692,0.05653177638261933,0.29024125548254953
2.4601862534201757,1.353513864714035,0.05687805993667405,0.28879384933524355
2.4560139066703393,1.3532676459201962,0.057419770013594155,0.287546266193498
